state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrolments
Uttar Pradesh,Jhansi,284206,138,128,1,267
Madhya Pradesh,Indore,452011,228,32,7,267
West Bengal,Kolkata,700007,116,132,19,267
Uttar Pradesh,Faizabad,224161,141,126,0,267
Rajasthan,Bundi,323603,196,64,7,267
Maharashtra,Ahmadnagar,414105,221,46,0,267
Bihar,Patna,803302,116,147,4,267
Jammu And Kashmir,Jammu,181132,223,43,1,267
Uttar Pradesh,Amethi,229305,150,114,3,267
Assam,Nagaon,782428,165,102,0,267
Rajasthan,Bikaner,334804,153,113,1,267
West Bengal,North 24 Parganas,743234,211,37,19,267
Tamil Nadu,Kancheepuram,600091,181,85,0,266
West Bengal,24 Paraganas North,700110,114,127,25,266
Nagaland,Phek,797114,72,194,0,266
Madhya Pradesh,Shajapur,465110,224,41,1,266
Uttar Pradesh,Pratapgarh,230125,149,117,0,266
Tamil Nadu,Tiruchirappalli,620102,232,34,0,266
Gujarat,Surat,394601,210,42,14,266
Punjab,Amritsar,143601,238,28,0,266
Jammu And Kashmir,Ramban,182148,198,67,1,266
Telangana,K.V. Rangareddy,500076,223,39,4,266
Uttar Pradesh,Bahraich,271821,136,112,18,266
Gujarat,Ahmedabad,380015,186,66,14,266
Telangana,Narayanpet,509208,210,56,0,266
Maharashtra,Amravati,444906,256,10,0,266
Bihar,Arwal,804423,54,211,1,266
Odisha,Sonapur,767016,217,48,1,266
Andhra Pradesh,Hyderabad,500005,211,54,1,266
Odisha,Bhadrak,756131,176,90,0,266
Uttar Pradesh,Mathura,281406,157,107,2,266
Tamil Nadu,Tirunelveli,627751,239,27,0,266
Uttar Pradesh,Kannauj,209734,160,105,1,266
Uttar Pradesh,Etawah,206125,158,101,7,266
Maharashtra,Palghar,401501,200,63,3,266
Odisha,Kendrapara,754211,215,50,0,265
Odisha,Mayurbhanj,757037,212,50,3,265
Uttar Pradesh,Hamirpur,210301,159,106,0,265
Uttar Pradesh,Sant Kabir Nagar,272154,100,162,3,265
Andhra Pradesh,Cuddapah,516001,242,22,1,265
Rajasthan,Ajmer,305814,177,87,1,265
Uttar Pradesh,Azamgarh,276126,75,190,0,265
Chhattisgarh,Durg,491111,240,25,0,265
Gujarat,Ahmedabad,380024,186,77,2,265
Madhya Pradesh,Ujjain,456331,236,28,1,265
West Bengal,Bankura,722137,191,72,2,265
Karnataka,Yadgir,585323,208,57,0,265
Maharashtra,Kolhapur,416205,241,24,0,265
Odisha,Bargarh,768042,170,95,0,265
Andhra Pradesh,Prakasam,523001,222,41,2,265
West Bengal,Purba Medinipur,721151,242,23,0,265
Assam,Bongaigaon,783388,207,53,5,265
Bihar,Buxar,802133,94,166,4,264
West Bengal,North 24 Parganas,700126,182,46,36,264
Chhattisgarh,Gariyaband,493890,191,71,2,264
Bihar,East Champaran,845406,116,148,0,264
Gujarat,Surendra Nagar,363001,230,32,2,264
Rajasthan,Rajsamand,313325,152,112,0,264
Haryana,Sirsa,125110,248,16,0,264
Uttar Pradesh,Sambhal,202411,117,147,0,264
West Bengal,South 24 Parganas,743378,169,94,1,264
Tamil Nadu,Erode,638501,164,100,0,264
Karnataka,Chamrajanagar,571440,248,13,3,264
Uttar Pradesh,Bara Banki,225206,172,90,2,264
Kerala,Palakkad,678601,177,83,4,264
Madhya Pradesh,Sagar,470228,220,37,7,264
Maharashtra,Nashik,422001,203,58,3,264
Telangana,K.V. Rangareddy,501203,223,39,2,264
Karnataka,Chikkaballapur,562101,246,16,2,264
Telangana,K.V. Rangareddy,501301,203,59,2,264
Telangana,Mahabubnagar,509339,162,102,0,264
Uttar Pradesh,Mahoba,210433,195,69,0,264
Rajasthan,Bhilwara,311024,193,65,6,264
Gujarat,Botad,363421,170,78,16,264
Andhra Pradesh,Hyderabad,500028,207,57,0,264
Rajasthan,Kota,324009,222,40,2,264
Bihar,Nalanda,803115,45,215,3,263
Uttar Pradesh,Kanpur Nagar,209205,127,135,1,263
Rajasthan,Jodhpur,342605,161,102,0,263
Telangana,Bhadradri Kothagudem,507117,199,59,5,263
Kerala,Kozhikode,673572,189,70,4,263
Gujarat,Vadodara,390009,202,47,14,263
Haryana,Gurgaon,122101,207,51,5,263
Bihar,Rohtas,821307,97,161,5,263
Uttarakhand,Uttarkashi,249185,183,79,1,263
Rajasthan,Bharatpur,321302,132,130,1,263
Sikkim,South Sikkim,737121,101,149,13,263
West Bengal,Paschim Medinipur,721133,194,67,2,263
Gujarat,Amreli,365565,167,68,28,263
Maharashtra,Mumbai,400055,210,53,0,263
Uttar Pradesh,Gonda,271313,136,126,1,263
Tamil Nadu,Sivaganga,630611,196,67,0,263
Karnataka,Bagalkot,587311,242,18,3,263
Uttar Pradesh,Muzaffarnagar,251316,148,114,1,263
Jammu And Kashmir,Anantnag,192211,233,24,5,262
Rajasthan,Rajsamand,313334,175,87,0,262
Madhya Pradesh,Chhatarpur,471408,180,78,4,262
Gujarat,Vadodara,390011,187,55,20,262
Rajasthan,Pali,306126,163,97,2,262
Rajasthan,Tonk,304801,186,75,1,262
Maharashtra,Mumbai,400051,189,73,0,262
Bihar,Jamui,811313,123,139,0,262
Uttar Pradesh,Fatehpur,212653,176,85,1,262
Jharkhand,Garhwa *,822114,214,48,0,262
Tamil Nadu,Salem,636008,225,35,2,262
Chhattisgarh,Janjgir-Champa,495687,237,25,0,262
Bihar,Purnia,855115,204,58,0,262
Telangana,K.V. Rangareddy,500032,152,73,37,262
Uttar Pradesh,Shrawasti,271821,104,158,0,262
West Bengal,Paschim Medinipur,721136,201,58,3,262
Madhya Pradesh,Khandwa,450551,182,75,5,262
Odisha,Koraput,764036,187,69,5,261
West Bengal,Paschim Medinipur,721426,183,78,0,261
West Bengal,Koch Bihar,736146,154,107,0,261
Jharkhand,Bokaro,827009,134,126,1,261
Telangana,Komaram Bheem,504299,214,47,0,261
Maharashtra,Gondiya,441801,254,7,0,261
Tamil Nadu,Krishnagiri,635117,206,52,3,261
Rajasthan,Jodhpur,342006,193,52,16,261
Maharashtra,Mumbai,400086,219,42,0,261
Uttar Pradesh,Lucknow,226023,145,114,2,261
Karnataka,Bengaluru Urban,560008,141,79,41,261
Gujarat,Ahmedabad,382210,175,80,6,261
Rajasthan,Bhilwara,311401,188,69,4,261
West Bengal,24 Paraganas North,700119,116,132,13,261
West Bengal,South 24 Parganas,743377,204,56,0,260
West Bengal,South Twenty Four Parganas,743347,219,37,4,260
Tamil Nadu,Coimbatore,641008,192,68,0,260
Rajasthan,Churu,331303,189,71,0,260
Himachal Pradesh,Solan,174101,240,20,0,260
Uttarakhand,Udham Singh Nagar,263160,241,19,0,260
Jharkhand,Lohardaga,835325,201,58,1,260
Gujarat,Banaskantha,385130,168,92,0,260
Andhra Pradesh,Kurnool,518344,238,22,0,260
Bihar,Rohtas,821107,96,161,3,260
Maharashtra,Aurangabad,431116,191,69,0,260
Bihar,Bhagalpur,812002,159,94,7,260
Telangana,K.V. Rangareddy,500097,212,48,0,260
Karnataka,Davangere,577601,246,14,0,260
Maharashtra,Kolhapur,416112,207,49,4,260
Maharashtra,Mumbai Suburban,400064,203,38,19,260
Uttar Pradesh,Basti,272128,113,144,3,260
Uttar Pradesh,Chitrakoot,210202,122,138,0,260
Punjab,Ludhiana,141401,232,27,1,260
Tamil Nadu,Theni,625515,201,59,0,260
Uttar Pradesh,Kheri,262702,182,78,0,260
Punjab,Patiala,147201,221,37,2,260
Madhya Pradesh,Chhatarpur,471101,137,120,2,259
Bihar,Samastipur,848502,161,98,0,259
Uttar Pradesh,Kanpur Nagar,209203,103,154,2,259
Gujarat,Gir Somnath,362550,186,58,15,259
Rajasthan,Ajmer,305404,204,53,2,259
Assam,Cachar,788102,133,89,37,259
West Bengal,Murshidabad,742132,243,15,1,259
Gujarat,Dahod,389146,140,85,34,259
Bihar,Darbhanga,847301,165,94,0,259
West Bengal,Hooghly,712602,214,45,0,259
Madhya Pradesh,Agar Malwa,465550,205,47,7,259
Kerala,Malappuram,676307,171,86,2,259
Assam,Kamrup,781381,178,47,34,259
West Bengal,Paschim Medinipur,721149,183,71,5,259
Tripura,South Tripura,799141,133,126,0,259
Uttar Pradesh,Baghpat,250625,128,127,4,259
Maharashtra,Pune,410504,217,27,15,259
Uttar Pradesh,Ballia,277204,71,187,1,259
West Bengal,Jalpaiguri,735133,168,81,10,259
Odisha,Nabarangapur,764077,142,116,1,259
Gujarat,Vadodara,391410,218,38,3,259
Gujarat,Vadodara,391165,171,88,0,259
Odisha,Koraput,764037,198,56,5,259
Rajasthan,Bikaner,334303,125,126,7,258
Telangana,K.V. Rangareddy,500079,194,58,6,258
Bihar,Darbhanga,847337,156,101,1,258
Jharkhand,Dumka,814120,157,101,0,258
Maharashtra,Thane,421602,172,85,1,258
Bihar,Patna,801102,88,168,2,258
Nagaland,Dimapur,797103,85,162,11,258
Punjab,Gurdaspur,143602,221,36,1,258
Punjab,Ludhiana,141002,189,43,26,258
Gujarat,Tapi,394670,203,25,30,258
Telangana,Wanaparthy,509103,206,52,0,258
Rajasthan,Chittorgarh,312202,177,80,1,258
Rajasthan,Barmer,344012,197,60,1,258
West Bengal,Purba Medinipur,721137,240,18,0,258
Uttar Pradesh,Allahabad,212305,125,133,0,258
Bihar,Supaul,854340,118,130,10,258
Uttar Pradesh,Mau,276306,84,172,1,257
Madhya Pradesh,Rewa,486448,224,30,3,257
Maharashtra,Pune,412211,187,52,18,257
West Bengal,Kolkata,700046,137,104,16,257
Uttar Pradesh,Rae Bareli,229204,131,126,0,257
Jharkhand,Deoghar,814143,132,124,1,257
Gujarat,Kachchh,370510,152,97,8,257
West Bengal,Barddhaman,713408,211,46,0,257
Uttar Pradesh,Jalaun,285125,130,124,3,257
Uttar Pradesh,Mau,275102,72,184,1,257
Andhra Pradesh,Kurnool,518323,235,21,1,257
Uttar Pradesh,Kanpur Nagar,208005,123,124,10,257
Gujarat,Surat,395008,196,58,3,257
Bihar,Purnia,854201,129,127,1,257
Odisha,Bargarh,768039,199,58,0,257
Jammu And Kashmir,Ganderbal,191202,237,18,2,257
Odisha,Baleswar,756019,206,51,0,257
Madhya Pradesh,Jabalpur,483105,234,22,0,256
West Bengal,North 24 Parganas,743428,231,23,2,256
Gujarat,Ahmedabad,380021,174,82,0,256
Chhattisgarh,Gariyaband,493992,242,14,0,256
Telangana,K.V. Rangareddy,501509,194,61,1,256
Uttar Pradesh,Amethi,228159,129,127,0,256
Uttar Pradesh,Ghazipur,233223,100,156,0,256
Rajasthan,Kota,326518,176,76,4,256
Madhya Pradesh,Chhindwara,480110,247,8,1,256
Uttar Pradesh,Azamgarh,223226,71,183,2,256
Uttar Pradesh,Hamirpur,210501,142,113,1,256
Uttar Pradesh,Jaunpur,223103,110,146,0,256
Andhra Pradesh,Spsr Nellore,524411,132,90,34,256
Uttar Pradesh,Ambedkar Nagar,224155,120,136,0,256
Rajasthan,Jhalawar,326514,198,56,1,255
Madhya Pradesh,Ashok Nagar,473440,166,72,17,255
Jharkhand,Ramgarh,829117,167,88,0,255
Telangana,Wanaparthy,509104,189,66,0,255
Jharkhand,Ranchi,835234,180,67,8,255
Tamil Nadu,Coimbatore,641006,200,53,2,255
Jammu And Kashmir,Doda,182143,212,42,1,255
Tamil Nadu,Pudukkottai,622002,198,53,4,255
Madhya Pradesh,Sehore,466651,217,35,3,255
Madhya Pradesh,Sehore,466111,183,68,4,255
West Bengal,North 24 Parganas,743329,200,53,2,255
Uttar Pradesh,Bulandshahr,203129,149,105,1,255
West Bengal,Malda,732103,185,68,2,255
Rajasthan,Jodhpur,342802,170,83,2,255
Maharashtra,Thane,401209,159,96,0,255
Punjab,Sangrur,148024,235,20,0,255
Jammu And Kashmir,Rajouri,185201,204,51,0,255
Madhya Pradesh,Dewas,455115,227,28,0,255
Maharashtra,Jalgaon,425109,170,84,1,255
Haryana,Yamuna Nagar,135102,247,6,2,255
Bihar,Supaul,852110,136,113,6,255
Chhattisgarh,Bilaspur,495550,223,32,0,255
Chhattisgarh,Kanker,494665,186,68,0,254
Rajasthan,Sikar,332402,190,64,0,254
Uttar Pradesh,Sant Kabir Nagar,272172,122,132,0,254
Uttar Pradesh,Mau,221602,76,174,4,254
Uttar Pradesh,Sonbhadra,231226,184,70,0,254
Punjab,Fatehgarh Sahib,140406,229,22,3,254
Uttar Pradesh,Hathras,204102,201,51,2,254
Gujarat,Vadodara,390006,187,58,9,254
Odisha,Balangir,767002,227,24,3,254
Chhattisgarh,Surajpur,497235,181,72,1,254
Uttar Pradesh,Rae Bareli,229205,130,123,1,254
Uttar Pradesh,Rae Bareli,229308,140,114,0,254
Uttar Pradesh,Banda,210202,103,144,7,254
Uttar Pradesh,Azamgarh,276208,75,176,3,254
Telangana,Hyderabad,500032,134,83,37,254
Madhya Pradesh,Ratlam,457336,221,32,1,254
Chhattisgarh,Koriya,497449,192,62,0,254
Tamil Nadu,Chennai,600004,204,41,9,254
Odisha,Sundergarh,770037,215,37,2,254
Uttar Pradesh,Bara Banki,225201,148,104,2,254
Uttar Pradesh,Farrukhabad,207505,110,137,6,253
Uttar Pradesh,Ghazipur,233303,141,111,1,253
Uttar Pradesh,Gonda,271603,153,97,3,253
Madhya Pradesh,Indore,453111,193,59,1,253
Bihar,Rohtas,802214,95,157,1,253
Gujarat,Kachchh,370205,171,79,3,253
Bihar,Saran,841206,87,165,1,253
Uttar Pradesh,Bulandshahr,245401,129,124,0,253
Maharashtra,Washim,444506,221,32,0,253
Uttar Pradesh,Auraiya,206129,172,81,0,253
Bihar,Begusarai,851132,182,70,1,253
Kerala,Malappuram,676508,195,56,2,253
Assam,Dhubri,783135,211,42,0,253
Rajasthan,Pali,306302,185,62,6,253
Bihar,Bhojpur,802155,65,183,5,253
Karnataka,Belagavi,591317,218,33,2,253
Uttar Pradesh,Kanpur Nagar,208013,121,130,1,252
Uttar Pradesh,Sant Kabir Nagar,272176,117,133,2,252
Madhya Pradesh,Bhopal,462036,223,24,5,252
Uttar Pradesh,Agra,283202,155,92,5,252
Bihar,Jehanabad,804429,50,201,1,252
Uttar Pradesh,Azamgarh,276135,81,169,2,252
Uttar Pradesh,Bara Banki,225401,169,80,3,252
Uttar Pradesh,Sonbhadra,231212,175,77,0,252
Telangana,K.V. Rangareddy,501202,187,65,0,252
Bihar,Patna,800009,69,176,7,252
Uttar Pradesh,Kannauj,209729,88,158,6,252
Jharkhand,Gumla,835229,169,81,2,252
Maharashtra,Kolhapur,416101,222,27,3,252
Rajasthan,Karauli,322238,180,72,0,252
Uttar Pradesh,Firozabad,205152,119,129,4,252
Uttar Pradesh,Kheri,262805,78,172,2,252
Chhattisgarh,Raigarh,496113,215,36,1,252
Uttar Pradesh,Gorakhpur,273211,103,148,1,252
Uttar Pradesh,Rae Bareli,229122,117,133,2,252
Uttar Pradesh,Varanasi,221106,121,131,0,252
West Bengal,Malda,732204,221,28,2,251
Assam,Cachar,788112,176,64,11,251
Bihar,Darbhanga,847428,173,78,0,251
Madhya Pradesh,Dindori,481884,235,16,0,251
Maharashtra,Latur,413532,188,62,1,251
Tamil Nadu,Madurai,625103,222,29,0,251
Rajasthan,Jhalawar,326515,180,65,6,251
Karnataka,Raichur,584140,224,25,2,251
Tamil Nadu,Chennai,600005,210,36,5,251
Maharashtra,Nandurbar,425415,218,29,4,251
Karnataka,Ballari,583102,222,15,14,251
Chhattisgarh,Mungeli,495330,229,21,1,251
Gujarat,Surendra Nagar,363421,201,36,14,251
Madhya Pradesh,Narsinghpur,487221,194,52,5,251
Uttar Pradesh,Lucknow,226011,119,131,1,251
Odisha,Nuapada,766104,201,50,0,251
Karnataka,Bangalore Rural,560067,185,37,28,250
Rajasthan,Nagaur,341513,177,70,3,250
West Bengal,Dakshin Dinajpur,733103,211,36,3,250
Rajasthan,Nagaur,341316,170,78,2,250
Uttar Pradesh,Sultanpur,228142,107,143,0,250
Bihar,Saran,841402,90,159,1,250
Assam,Karimganj,788736,150,100,0,250
Uttar Pradesh,Agra,283113,182,66,2,250
Uttar Pradesh,Jaunpur,222002,95,155,0,250
Uttar Pradesh,Muzaffarnagar,251202,131,118,1,250
Uttar Pradesh,Hapur,245304,186,63,1,250
Punjab,Sangrur,148028,218,31,1,250
Rajasthan,Jhunjhunun,331027,214,33,3,250
Bihar,Rohtas,821312,136,113,1,250
Bihar,East Champaran,845430,135,113,2,250
Telangana,K.V. Rangareddy,501503,199,50,1,250
Bihar,Saran,841214,61,188,1,250
Tripura,South Tripura,799104,142,108,0,250
West Bengal,Nadia,741257,172,64,14,250
Odisha,Nuapada,766111,203,47,0,250
Maharashtra,Sangli,415311,170,77,2,249
Karnataka,Dharwad,581204,239,10,0,249
Jammu And Kashmir,Baramula,193402,216,33,0,249
Maharashtra,Nashik,422203,176,70,3,249
Andhra Pradesh,Guntur,522426,223,26,0,249
Bihar,Nalanda,801306,69,179,1,249
Gujarat,Ahmedabad,382470,169,79,1,249
Tamil Nadu,Villupuram,604001,219,30,0,249
Maharashtra,Jalgaon,424105,202,46,1,249
Odisha,Bhadrak,756119,176,69,4,249
Rajasthan,Tonk,304804,197,52,0,249
Bihar,East Champaran,845413,131,115,3,249
Uttar Pradesh,Sonbhadra,231219,102,147,0,249
Karnataka,Koppal,583232,219,30,0,249
Rajasthan,Ajmer,305407,191,56,1,248
Punjab,Hoshiarpur,144205,233,12,3,248
West Bengal,Haora,711302,166,82,0,248
Jharkhand,Giridih,825418,163,85,0,248
West Bengal,Birbhum,731240,218,30,0,248
Rajasthan,Jaipur,303908,155,90,3,248
Andhra Pradesh,Hyderabad,500023,207,41,0,248
West Bengal,Paschim Medinipur,721155,237,10,1,248
Madhya Pradesh,Jabalpur,482021,221,24,3,248
Tripura,South Tripura,799145,174,73,1,248
Madhya Pradesh,East Nimar,450114,143,103,2,248
Karnataka,Bellary,583102,229,19,0,248
Jammu And Kashmir,Jammu,181201,199,49,0,248
Maharashtra,Pune,412115,138,85,25,248
Karnataka,Bengaluru,560093,139,66,43,248
Odisha,Nuapada,766107,216,32,0,248
Karnataka,Yadgir,585237,208,31,9,248
Jharkhand,Sahebganj,816110,159,88,0,247
Karnataka,Hassan,573201,233,14,0,247
Nagaland,Shamator,798628,3,221,23,247
Maharashtra,Chhatrapati Sambhajinagar,431001,64,120,63,247
Rajasthan,Jodhpur,342307,129,112,6,247
Andhra Pradesh,Visakhapatnam,531040,236,11,0,247
Gujarat,Rajkot,360410,231,14,2,247
West Bengal,Bankura,722157,212,32,3,247
West Bengal,Nadia,741160,206,40,1,247
Bihar,Patna,804454,26,220,1,247
Uttar Pradesh,Moradabad,244411,154,74,19,247
Assam,Kamrup,781122,183,51,13,247
Bihar,Saran,841421,67,178,2,247
Rajasthan,Karauli,322251,178,67,2,247
Tamil Nadu,Ramanathapuram,623517,194,41,12,247
West Bengal,Bankura,722136,184,52,11,247
West Bengal,Purba Medinipur,721656,229,16,1,246
Andhra Pradesh,Visakhapatnam,531077,233,13,0,246
Odisha,Mayurbhanj,757043,182,62,2,246
Maharashtra,Chandrapur,442905,214,28,4,246
Madhya Pradesh,Betul,460663,202,37,7,246
Kerala,Malappuram,676301,175,66,5,246
Rajasthan,Dausa,303327,195,50,1,246
Uttar Pradesh,Ballia,277304,96,150,0,246
Bihar,Munger,811212,96,145,5,246
Karnataka,Koppal,583236,210,35,1,246
Bihar,Kaimur (Bhabua),821110,71,172,3,246
Bihar,Bhojpur,802166,61,185,0,246
Rajasthan,Dholpur,328029,151,89,6,246
Karnataka,Bengaluru Urban,560075,95,98,53,246
Tamil Nadu,Pudukkottai,622001,203,40,3,246
Bihar,Muzaffarpur,843123,120,124,2,246
Rajasthan,Ajmer,305624,198,47,1,246
Uttar Pradesh,Kanpur Nagar,208003,133,102,11,246
Assam,Dhubri,783127,192,54,0,246
Uttar Pradesh,Gautam Buddha Nagar,203209,150,96,0,246
Karnataka,Bengaluru,560060,208,31,7,246
Karnataka,Davangere,577528,199,44,2,245
Karnataka,Bangalore Rural,562123,210,28,7,245
Karnataka,Raichur,584124,172,72,1,245
Bihar,Bhojpur,802156,53,191,1,245
Chhattisgarh,Baloda Bazar,493335,208,37,0,245
Bihar,Muzaffarpur,843112,111,133,1,245
Maharashtra,Mumbai,400060,190,55,0,245
Uttar Pradesh,Gonda,271126,125,118,2,245
Uttar Pradesh,Amethi,229304,124,121,0,245
West Bengal,Paschim Medinipur,721443,203,42,0,245
Rajasthan,Nagaur,341514,163,82,0,245
Maharashtra,Dhule,425406,153,91,1,245
Madhya Pradesh,Satna,485334,181,63,1,245
Uttar Pradesh,Saharanpur,247340,192,53,0,245
Jharkhand,Palamu,822101,173,69,3,245
Bihar,Lakhisarai,811315,118,127,0,245
Uttar Pradesh,Auraiya,206247,161,80,4,245
Uttar Pradesh,Sitapur,261405,145,96,4,245
Telangana,Khammam,507001,173,71,1,245
Uttar Pradesh,Bareilly,243401,120,118,6,244
Madhya Pradesh,Mandla,481768,231,11,2,244
West Bengal,Hooghly,712407,173,61,10,244
Maharashtra,Amravati,444705,224,20,0,244
Madhya Pradesh,Khandwa,450116,168,76,0,244
West Bengal,Barddhaman,713325,176,68,0,244
Odisha,Kendujhar,758021,200,44,0,244
Maharashtra,Nagpur,441401,224,15,5,244
Maharashtra,Nashik,422006,188,55,1,244
Maharashtra,Jalgaon,425105,192,52,0,244
Gujarat,Bhavnagar,364004,214,24,6,244
West Bengal,Birbhum,731236,219,24,1,244
West Bengal,Bankura,722138,224,18,2,244
Tamil Nadu,Cuddalore,607802,207,35,2,244
Karnataka,Bangalore Rural,562110,204,27,13,244
Kerala,Malappuram,679322,122,115,7,244
Uttar Pradesh,Sant Kabir Nagar,272152,104,139,1,244
Uttar Pradesh,Sant Kabir Nagar,272170,123,121,0,244
Madhya Pradesh,Tikamgarh,472442,192,51,1,244
Madhya Pradesh,Ujjain,456661,207,37,0,244
Uttar Pradesh,Allahabad,211006,101,141,2,244
Uttar Pradesh,Kasganj,207124,149,93,2,244
Uttar Pradesh,Azamgarh,276141,81,157,6,244
Telangana,Vikarabad,509336,173,70,0,243
Telangana,Adilabad,504311,193,50,0,243
Delhi,East Delhi,110032,206,37,0,243
Bihar,Saran,841209,107,134,2,243
Uttar Pradesh,Sant Ravidas Nagar,221308,94,149,0,243
Tamil Nadu,Dindigul,624003,195,48,0,243
Uttar Pradesh,Shahjahanpur,242220,104,135,4,243
Bihar,Buxar,802122,119,118,6,243
Maharashtra,Ratnagiri,415612,216,24,3,243
Odisha,Kalahandi,766029,172,63,8,243
Maharashtra,Pune,411047,192,49,2,243
Rajasthan,Ajmer,305926,173,69,1,243
West Bengal,24 Paraganas North,743248,119,95,29,243
Uttar Pradesh,Amethi,229302,157,84,2,243
Maharashtra,Mumbai Suburban,400102,178,60,5,243
Kerala,Malappuram,676102,184,54,5,243
Gujarat,Chhotaudepur,391168,127,80,36,243
Maharashtra,Gadchiroli,442704,179,61,3,243
Assam,Lakhimpur,787001,175,53,15,243
West Bengal,Paschim Medinipur,721513,201,42,0,243
Jammu And Kashmir,Srinagar,190015,216,21,6,243
West Bengal,Howrah,711403,150,89,4,243
Uttar Pradesh,Mirzapur,231313,131,112,0,243
Uttar Pradesh,Gorakhpur,273002,105,134,4,243
Rajasthan,Jaipur,303105,167,75,1,243
Gujarat,Anand,388550,194,33,16,243
West Bengal,Jalpaiguri,736202,171,72,0,243
Uttar Pradesh,Mainpuri,205119,101,137,5,243
Karnataka,Yadgir,585291,176,63,4,243
Maharashtra,Aurangabad,431104,197,46,0,243
Rajasthan,Pali,306023,158,82,2,242
West Bengal,Puruliya,723130,192,49,1,242
Bihar,Saran,841422,94,146,2,242
Bihar,Madhubani,847122,148,93,1,242
Madhya Pradesh,Vidisha,464337,192,49,1,242
Uttar Pradesh,Lucknow,227105,115,126,1,242
Gujarat,Jamnagar,361170,196,32,14,242
Tamil Nadu,Tiruchirappalli,621310,181,61,0,242
Tamil Nadu,Cuddalore,608301,206,35,1,242
Odisha,Bargarh,768038,214,28,0,242
Gujarat,Ahmedabad,380061,158,67,17,242
Rajasthan,Nagaur,341506,187,54,1,242
Gujarat,Ahmedabad,380004,189,52,1,242
Tamil Nadu,Thanjavur,614602,185,46,11,242
Haryana,Jind,126114,237,5,0,242
Rajasthan,Pali,306702,158,81,3,242
Uttar Pradesh,Faizabad,224141,138,104,0,242
Punjab,Bathinda,151103,207,27,8,242
Uttar Pradesh,Amroha,244236,188,54,0,242
Rajasthan,Jaipur,303305,152,88,2,242
Uttar Pradesh,Lalitpur,284122,172,69,1,242
Gujarat,Dohad,389175,124,98,20,242
Rajasthan,Nagaur,341511,146,93,3,242
Haryana,Hisar,125113,228,14,0,242
Bihar,Purbi Champaran,845315,45,187,10,242
Assam,Kokrajhar,783337,166,71,5,242
Rajasthan,Dausa,303315,158,79,4,241
Bihar,Vaishali,844117,101,139,1,241
Telangana,Medchal-Malkajgiri,500010,164,69,8,241
Madhya Pradesh,Shajapur,465335,179,60,2,241
Uttar Pradesh,Varanasi,221405,94,147,0,241
West Bengal,Murshidabad,742157,217,24,0,241
Madhya Pradesh,Dhar,454773,187,48,6,241
Karnataka,Davangere,577004,208,29,4,241
Bihar,Supaul,852108,103,131,7,241
Telangana,Hyderabad,500061,198,43,0,241
Uttar Pradesh,Azamgarh,276124,99,141,1,241
Andhra Pradesh,Kurnool,518401,219,22,0,241
Rajasthan,Banswara,327025,143,96,2,241
Madhya Pradesh,Sagar,470125,205,29,7,241
Kerala,Kasaragod,671541,178,57,6,241
Uttar Pradesh,Fatehpur,212658,115,120,6,241
Odisha,Bargarh,768027,210,31,0,241
West Bengal,South 24 Parganas,743374,203,36,2,241
Madhya Pradesh,Bhind,477446,98,118,25,241
Tripura,West Tripura,799004,179,57,5,241
Karnataka,Raichur,584126,188,52,0,240
West Bengal,Bankura,722135,226,14,0,240
Uttar Pradesh,Banda,210120,79,155,6,240
Maharashtra,Gadchiroli,442605,231,4,5,240
Bihar,Rohtas,802211,57,178,5,240
Maharashtra,Pune,411036,202,35,3,240
Tamil Nadu,Pudukkottai,622203,191,48,1,240
Rajasthan,Sirohi,307510,116,112,12,240
West Bengal,North 24 Parganas,743710,191,35,14,240
Rajasthan,Ganganagar,335703,169,68,3,240
Chhattisgarh,Raipur,492009,210,30,0,240
Uttar Pradesh,Sultanpur,228121,139,100,1,240
Bihar,Darbhanga,848209,145,94,1,240
Jharkhand,Dhanbad,828204,169,70,1,240
Rajasthan,Karauli,322249,179,59,2,240
Uttar Pradesh,Unnao,229503,128,108,4,240
Madhya Pradesh,West Nimar,451001,208,30,2,240
Delhi,South Delhi,110016,160,54,26,240
Uttar Pradesh,Fatehpur,212665,124,113,3,240
Assam,Cachar,788013,185,51,4,240
Bihar,Rohtas,802218,67,171,2,240
Manipur,Imphal East,795005,116,122,1,239
Tamil Nadu,Cuddalore,607303,207,32,0,239
West Bengal,Purba Medinipur,721659,215,22,2,239
West Bengal,Nadia,741155,189,48,2,239
Chhattisgarh,Rajnandgaon,491881,216,23,0,239
Chhattisgarh,Jashpur,496220,184,55,0,239
Uttar Pradesh,Mau,275303,92,147,0,239
Rajasthan,Bikaner,334022,124,115,0,239
Tamil Nadu,Tiruvannamalai,604407,196,43,0,239
Rajasthan,Dungarpur,314403,116,122,1,239
West Bengal,Nadia,741157,218,21,0,239
West Bengal,Paschim Medinipur,721305,177,52,10,239
Odisha,Baleswar,756032,184,55,0,239
Gujarat,Panch Mahals,389341,140,82,17,239
West Bengal,Jalpaiguri,735211,152,83,4,239
Uttar Pradesh,Allahabad,229412,141,97,1,239
Uttar Pradesh,Jhansi,284401,138,98,3,239
Uttar Pradesh,Gorakhpur,273406,75,164,0,239
Maharashtra,Nanded,431717,180,54,5,239
Chhattisgarh,Surajpur,497001,189,49,1,239
